crop_name,planting_date,harvest_date,growth_stage,pest_control_measures,yield_prediction
Barley,2024-01-12,2024-07-01,Maturity,Use of organic pesticides,879
Lettuce,2023-10-26,2024-02-21,Fruiting,Biological pest control,1345
Lettuce,2023-04-15,2023-09-23,Seedling,Crop rotation,956
Lettuce,2024-05-15,2024-09-02,Seedling,Chemical pesticides,3897
Tomato,2023-05-30,2023-11-13,Flowering,Crop rotation,2050
Potato,2024-06-14,2024-08-29,Fruiting,Crop rotation,4794
Soybean,2023-11-11,2024-03-02,Vegetative,Regular field monitoring,3053
Wheat,2024-06-20,2024-09-21,Seedling,Regular field monitoring,2134
Sugarcane,2024-05-03,2024-07-09,Flowering,Neem oil application,2333
Sugarcane,2023-10-14,2024-02-23,Seedling,Regular field monitoring,2780
Potato,2023-07-10,2023-11-26,Seedling,Neem oil application,1927
Cotton,2025-01-28,2025-07-24,Vegetative,Biological pest control,2727
Rice,2023-07-02,2023-12-08,Maturity,Biological pest control,4983
Rice,2023-08-28,2024-01-22,Flowering,Use of organic pesticides,3811
Soybean,2024-02-11,2024-04-12,Flowering,Use of organic pesticides,4946
Potato,2024-09-20,2024-11-19,Flowering,Biological pest control,1113
Tomato,2024-07-15,2024-10-04,Vegetative,Crop rotation,1754
Barley,2025-02-13,2025-04-22,Maturity,Biological pest control,1798
Potato,2024-10-15,2025-02-09,Maturity,Biological pest control,2188
Lettuce,2023-12-23,2024-05-19,Maturity,Biological pest control,2464
Wheat,2023-09-02,2024-02-17,Fruiting,Neem oil application,3418
Barley,2024-06-06,2024-08-05,Vegetative,Regular field monitoring,982
Tomato,2024-11-29,2025-02-06,Vegetative,Regular field monitoring,2230
Wheat,2023-05-25,2023-11-12,Vegetative,Biological pest control,3772
Wheat,2024-08-18,2025-02-14,Maturity,Use of organic pesticides,4913
Corn,2024-07-11,2024-10-19,Seedling,Biological pest control,4915
Rice,2023-09-06,2023-12-22,Flowering,Chemical pesticides,2624
Potato,2024-07-23,2024-12-04,Maturity,Crop rotation,4863
Potato,2024-12-03,2025-04-23,Fruiting,Crop rotation,1508
Sugarcane,2023-10-03,2024-03-16,Maturity,Regular field monitoring,4032
Lettuce,2023-02-23,2023-07-16,Fruiting,Biological pest control,3757
Wheat,2023-02-27,2023-05-20,Flowering,Crop rotation,3777
Sugarcane,2025-02-07,2025-07-01,Seedling,Crop rotation,3254
Rice,2023-04-12,2023-09-09,Fruiting,Chemical pesticides,2287
Rice,2025-01-29,2025-06-20,Seedling,Chemical pesticides,4575
Tomato,2024-01-05,2024-06-18,Seedling,Regular field monitoring,1717
Potato,2023-09-10,2024-01-24,Vegetative,Neem oil application,1666
Rice,2023-06-14,2023-08-14,Maturity,Biological pest control,4858
Sugarcane,2023-03-07,2023-07-25,Seedling,Chemical pesticides,2997
Potato,2024-12-24,2025-03-01,Maturity,Chemical pesticides,1683
Barley,2024-03-08,2024-08-11,Flowering,Neem oil application,989
Soybean,2024-01-15,2024-04-08,Maturity,Crop rotation,3539
Sugarcane,2023-10-04,2024-03-17,Maturity,Use of organic pesticides,1479
Lettuce,2023-08-25,2023-10-26,Maturity,Crop rotation,3512
Tomato,2023-04-30,2023-08-01,Fruiting,Neem oil application,4919
Potato,2024-08-27,2024-12-04,Vegetative,Chemical pesticides,2759
Soybean,2024-07-07,2024-11-22,Vegetative,Use of organic pesticides,3426
Potato,2024-07-17,2024-12-30,Maturity,Regular field monitoring,1134
Wheat,2024-03-25,2024-06-04,Maturity,Biological pest control,2157
Lettuce,2023-03-31,2023-07-30,Flowering,Neem oil application,4419
Potato,2023-12-25,2024-05-11,Fruiting,Regular field monitoring,2741
Rice,2024-03-30,2024-07-11,Vegetative,Biological pest control,598
Barley,2023-08-24,2024-02-12,Vegetative,Crop rotation,846
Rice,2023-03-13,2023-08-26,Vegetative,Use of organic pesticides,2317
Rice,2023-09-26,2023-12-01,Seedling,Biological pest control,2916
Potato,2023-09-23,2024-01-15,Seedling,Use of organic pesticides,865
Potato,2024-05-21,2024-08-13,Maturity,Neem oil application,940
Cotton,2024-09-28,2025-03-21,Vegetative,Use of organic pesticides,4387
Sugarcane,2024-01-29,2024-07-06,Vegetative,Biological pest control,1906
Corn,2025-01-15,2025-06-15,Flowering,Chemical pesticides,3271
Cotton,2024-02-11,2024-06-12,Flowering,Crop rotation,1977
Cotton,2024-03-30,2024-07-30,Flowering,Neem oil application,2803
Barley,2023-04-17,2023-07-21,Flowering,Neem oil application,2900
Cotton,2025-01-14,2025-05-25,Vegetative,Neem oil application,1358
Rice,2023-11-11,2024-02-26,Flowering,Crop rotation,4802
Wheat,2023-05-21,2023-10-28,Seedling,Chemical pesticides,4072
Potato,2023-03-13,2023-06-26,Maturity,Chemical pesticides,3340
Wheat,2024-06-20,2024-09-02,Maturity,Crop rotation,3935
Potato,2024-12-11,2025-04-12,Seedling,Regular field monitoring,940
Lettuce,2024-02-17,2024-06-06,Vegetative,Neem oil application,4831
Barley,2023-04-06,2023-09-28,Fruiting,Use of organic pesticides,4314
Wheat,2023-05-28,2023-10-03,Seedling,Regular field monitoring,552
Cotton,2023-06-02,2023-10-22,Fruiting,Biological pest control,946
Barley,2023-07-25,2024-01-15,Vegetative,Regular field monitoring,1145
Potato,2024-03-02,2024-05-09,Fruiting,Use of organic pesticides,4543
Rice,2024-04-10,2024-07-10,Flowering,Chemical pesticides,2002
Tomato,2023-09-15,2024-02-15,Maturity,Neem oil application,510
Barley,2023-08-05,2023-12-10,Fruiting,Neem oil application,3626
Rice,2024-03-17,2024-07-17,Flowering,Crop rotation,996
Wheat,2025-01-14,2025-06-09,Seedling,Regular field monitoring,1603
Rice,2024-04-16,2024-06-24,Flowering,Regular field monitoring,2905
Tomato,2024-06-03,2024-09-11,Maturity,Crop rotation,883
Tomato,2024-05-04,2024-09-07,Fruiting,Use of organic pesticides,1626
Corn,2024-02-26,2024-06-23,Maturity,Neem oil application,3769
Sugarcane,2023-05-15,2023-10-26,Seedling,Crop rotation,3515
Tomato,2024-12-10,2025-06-06,Flowering,Regular field monitoring,4374
Lettuce,2023-10-25,2024-02-09,Seedling,Chemical pesticides,4314
Soybean,2024-10-22,2025-02-03,Fruiting,Regular field monitoring,1233
Cotton,2024-04-13,2024-07-13,Maturity,Biological pest control,1654
Rice,2025-02-14,2025-05-11,Maturity,Regular field monitoring,4266
Barley,2024-04-19,2024-10-09,Fruiting,Chemical pesticides,2646
Lettuce,2024-09-23,2025-02-26,Fruiting,Regular field monitoring,2655
Barley,2024-04-07,2024-09-06,Vegetative,Neem oil application,3462
Soybean,2023-06-02,2023-10-03,Maturity,Neem oil application,4768
Tomato,2024-03-18,2024-08-29,Maturity,Crop rotation,1201
Sugarcane,2024-03-16,2024-05-16,Vegetative,Regular field monitoring,2493
Wheat,2023-07-20,2024-01-16,Fruiting,Biological pest control,3188
Corn,2024-01-01,2024-06-29,Seedling,Chemical pesticides,3636
Corn,2024-02-06,2024-07-06,Fruiting,Chemical pesticides,2778
Potato,2024-07-05,2024-10-25,Flowering,Neem oil application,4014
Barley,2023-08-30,2024-02-05,Seedling,Crop rotation,2427
Tomato,2023-05-05,2023-07-07,Flowering,Use of organic pesticides,790
Potato,2024-09-06,2024-11-27,Fruiting,Crop rotation,1007
Tomato,2024-09-20,2025-03-06,Seedling,Chemical pesticides,4141
Potato,2024-04-22,2024-07-17,Flowering,Chemical pesticides,1230
Lettuce,2024-04-16,2024-07-09,Fruiting,Use of organic pesticides,2664
Sugarcane,2024-08-22,2025-02-10,Flowering,Use of organic pesticides,4042
Soybean,2024-02-09,2024-07-03,Maturity,Regular field monitoring,4765
Cotton,2025-01-31,2025-05-20,Seedling,Biological pest control,1910
Soybean,2023-07-30,2024-01-20,Fruiting,Chemical pesticides,4117
Potato,2023-10-13,2024-01-30,Fruiting,Biological pest control,4070
Potato,2023-08-03,2023-12-07,Vegetative,Neem oil application,1233
Soybean,2023-06-17,2023-11-07,Fruiting,Biological pest control,2317
Cotton,2023-12-25,2024-03-26,Seedling,Regular field monitoring,4377
Potato,2024-11-14,2025-05-07,Seedling,Use of organic pesticides,1619
Wheat,2023-07-29,2023-10-13,Flowering,Neem oil application,798
Rice,2023-08-11,2023-10-12,Vegetative,Neem oil application,3957
Corn,2023-10-23,2024-01-04,Vegetative,Regular field monitoring,3247
Rice,2023-08-09,2023-12-22,Fruiting,Crop rotation,2886
Cotton,2024-03-26,2024-08-30,Flowering,Use of organic pesticides,578
Potato,2024-01-18,2024-07-07,Vegetative,Chemical pesticides,1528
Cotton,2023-09-25,2023-12-29,Maturity,Regular field monitoring,2440
Soybean,2023-05-09,2023-07-18,Flowering,Crop rotation,996
Barley,2024-06-26,2024-10-02,Maturity,Crop rotation,2110
Corn,2024-09-19,2025-01-31,Seedling,Biological pest control,927
Rice,2023-09-06,2023-12-17,Maturity,Chemical pesticides,3350
Wheat,2023-08-12,2024-01-15,Seedling,Chemical pesticides,656
Cotton,2023-12-14,2024-05-07,Seedling,Biological pest control,3730
Tomato,2024-05-04,2024-07-14,Flowering,Chemical pesticides,3785
Tomato,2024-10-13,2025-02-05,Vegetative,Biological pest control,3320
Tomato,2024-05-18,2024-10-16,Flowering,Use of organic pesticides,2051
Corn,2023-10-25,2024-01-22,Flowering,Biological pest control,2542
Lettuce,2023-07-10,2023-11-19,Seedling,Crop rotation,839
Cotton,2023-11-18,2024-05-06,Seedling,Biological pest control,1975
Wheat,2024-11-03,2025-02-16,Flowering,Crop rotation,4083
Rice,2024-12-14,2025-04-18,Flowering,Neem oil application,2035
Wheat,2025-01-08,2025-05-12,Flowering,Chemical pesticides,2106
Corn,2023-06-10,2023-10-04,Fruiting,Biological pest control,2521
Soybean,2024-11-07,2025-05-02,Maturity,Biological pest control,4267
Lettuce,2023-05-19,2023-09-06,Maturity,Use of organic pesticides,4347
Cotton,2023-12-13,2024-02-21,Flowering,Use of organic pesticides,3290
Potato,2024-09-26,2025-03-21,Flowering,Chemical pesticides,4787
Lettuce,2024-03-02,2024-08-08,Flowering,Neem oil application,4289
Lettuce,2023-11-17,2024-02-23,Vegetative,Crop rotation,2569
Barley,2025-02-09,2025-07-15,Flowering,Regular field monitoring,3885
Wheat,2023-04-29,2023-10-02,Fruiting,Biological pest control,4521
Cotton,2024-06-19,2024-10-07,Vegetative,Crop rotation,3342
Barley,2024-07-01,2024-10-09,Seedling,Biological pest control,3770
Potato,2023-08-03,2023-11-21,Flowering,Use of organic pesticides,2141
Cotton,2024-04-02,2024-07-28,Seedling,Chemical pesticides,2195
Sugarcane,2024-11-08,2025-02-14,Maturity,Chemical pesticides,4779
Corn,2024-12-05,2025-04-30,Flowering,Use of organic pesticides,3091
Barley,2024-01-22,2024-06-17,Seedling,Chemical pesticides,4112
Potato,2024-08-01,2024-12-15,Fruiting,Regular field monitoring,4420
Tomato,2023-08-07,2024-01-24,Vegetative,Biological pest control,4923
Wheat,2023-12-26,2024-03-13,Vegetative,Crop rotation,2175
Soybean,2023-06-18,2023-11-07,Seedling,Neem oil application,4800
Wheat,2023-12-16,2024-04-07,Maturity,Neem oil application,975
Lettuce,2023-09-12,2024-03-09,Seedling,Use of organic pesticides,2182
Wheat,2024-12-19,2025-05-09,Flowering,Chemical pesticides,4246
Sugarcane,2024-06-13,2024-09-12,Fruiting,Biological pest control,1212
Rice,2024-03-26,2024-08-28,Maturity,Use of organic pesticides,2655
Wheat,2023-06-16,2023-11-11,Seedling,Biological pest control,1160
Lettuce,2024-05-20,2024-09-06,Maturity,Neem oil application,4253
Cotton,2024-02-28,2024-07-13,Flowering,Biological pest control,2096
Sugarcane,2023-04-11,2023-06-14,Fruiting,Use of organic pesticides,1798
Rice,2023-12-19,2024-05-11,Fruiting,Neem oil application,1673
Soybean,2024-06-13,2024-11-02,Maturity,Use of organic pesticides,3436
Corn,2024-05-13,2024-07-25,Vegetative,Chemical pesticides,4416
Potato,2024-09-16,2025-02-26,Vegetative,Crop rotation,3149
Sugarcane,2025-01-02,2025-06-28,Maturity,Regular field monitoring,4325
Tomato,2023-12-18,2024-06-12,Vegetative,Crop rotation,2843
Tomato,2023-03-13,2023-06-12,Seedling,Neem oil application,2209
Corn,2023-12-13,2024-03-13,Flowering,Biological pest control,3272
Tomato,2024-10-05,2024-12-17,Seedling,Crop rotation,2093
Soybean,2023-04-10,2023-08-28,Maturity,Regular field monitoring,1418
Wheat,2024-12-19,2025-02-22,Seedling,Neem oil application,2578
Wheat,2023-07-06,2023-12-21,Flowering,Regular field monitoring,2428
Sugarcane,2023-12-09,2024-02-10,Vegetative,Regular field monitoring,2840
Potato,2023-09-17,2023-12-15,Fruiting,Use of organic pesticides,2300
Potato,2024-08-14,2025-01-17,Vegetative,Use of organic pesticides,1426
Barley,2023-10-06,2024-04-03,Fruiting,Use of organic pesticides,2445
Potato,2024-12-31,2025-05-25,Maturity,Use of organic pesticides,2416
Corn,2023-06-20,2023-09-18,Flowering,Neem oil application,2094
Cotton,2023-06-28,2023-09-18,Vegetative,Biological pest control,1649
Wheat,2023-11-17,2024-03-18,Maturity,Chemical pesticides,4285
Corn,2023-12-20,2024-03-19,Seedling,Chemical pesticides,4178
Soybean,2023-07-19,2023-11-26,Vegetative,Biological pest control,995
Sugarcane,2023-09-19,2024-03-17,Fruiting,Chemical pesticides,886
Barley,2023-12-30,2024-05-17,Fruiting,Regular field monitoring,3196
Barley,2023-06-04,2023-10-10,Vegetative,Regular field monitoring,2939
Rice,2024-06-13,2024-10-20,Vegetative,Regular field monitoring,2838
Potato,2024-12-19,2025-05-07,Maturity,Biological pest control,2204
Rice,2024-03-19,2024-08-30,Fruiting,Chemical pesticides,1557
Tomato,2023-11-14,2024-04-24,Seedling,Biological pest control,3701
Potato,2024-10-24,2025-02-11,Maturity,Use of organic pesticides,3390
Tomato,2023-06-03,2023-09-15,Fruiting,Chemical pesticides,4814
Potato,2023-08-30,2024-01-24,Vegetative,Regular field monitoring,3568
Corn,2023-09-04,2023-11-05,Vegetative,Use of organic pesticides,993
Potato,2023-08-04,2023-10-05,Vegetative,Regular field monitoring,635
Barley,2024-08-21,2024-11-10,Seedling,Neem oil application,3357
Corn,2024-02-07,2024-06-09,Vegetative,Biological pest control,1674
Lettuce,2024-05-06,2024-07-06,Fruiting,Biological pest control,3607
Lettuce,2023-04-24,2023-08-03,Seedling,Regular field monitoring,3455
Sugarcane,2023-03-26,2023-08-02,Vegetative,Biological pest control,1178
Barley,2023-11-05,2024-03-28,Maturity,Biological pest control,545
Corn,2023-12-18,2024-05-24,Fruiting,Chemical pesticides,4760
Sugarcane,2023-09-20,2024-03-07,Vegetative,Neem oil application,3206
Cotton,2024-01-24,2024-06-22,Maturity,Neem oil application,852
Cotton,2023-07-28,2023-12-26,Seedling,Biological pest control,3170
Rice,2023-05-22,2023-08-13,Maturity,Regular field monitoring,4649
Soybean,2024-04-07,2024-08-10,Seedling,Use of organic pesticides,3192
Potato,2024-11-27,2025-03-30,Vegetative,Chemical pesticides,3887
Lettuce,2024-11-04,2025-01-18,Fruiting,Regular field monitoring,1388
Sugarcane,2024-11-27,2025-05-22,Vegetative,Neem oil application,849
Rice,2023-06-22,2023-12-05,Seedling,Chemical pesticides,4719
Cotton,2024-06-16,2024-11-03,Flowering,Regular field monitoring,788
Corn,2023-09-20,2024-01-30,Maturity,Crop rotation,828
Sugarcane,2023-03-14,2023-07-06,Seedling,Biological pest control,2474
Barley,2024-11-21,2025-05-13,Flowering,Use of organic pesticides,1922
Rice,2023-04-13,2023-09-05,Seedling,Regular field monitoring,777
Cotton,2025-01-23,2025-04-21,Fruiting,Biological pest control,2051
Rice,2024-08-01,2024-10-24,Flowering,Biological pest control,3170
Lettuce,2024-09-26,2024-11-29,Seedling,Use of organic pesticides,4059
Barley,2023-06-09,2023-08-11,Fruiting,Regular field monitoring,1260
Lettuce,2024-05-19,2024-07-18,Fruiting,Regular field monitoring,3436
Corn,2024-04-19,2024-09-14,Vegetative,Use of organic pesticides,3332
Barley,2024-06-09,2024-11-09,Fruiting,Regular field monitoring,2998
Potato,2024-11-04,2025-04-10,Seedling,Neem oil application,1094
Sugarcane,2023-09-14,2023-12-01,Flowering,Regular field monitoring,1965
Tomato,2023-06-08,2023-09-30,Maturity,Use of organic pesticides,3728
Rice,2025-01-11,2025-07-06,Maturity,Regular field monitoring,1482
Lettuce,2024-08-04,2024-12-09,Fruiting,Chemical pesticides,4312
Lettuce,2023-11-05,2024-01-31,Seedling,Regular field monitoring,1704
Barley,2024-01-20,2024-04-23,Seedling,Crop rotation,1326
Tomato,2024-07-16,2024-10-02,Maturity,Use of organic pesticides,3079
Corn,2024-01-07,2024-06-05,Fruiting,Neem oil application,964
Soybean,2024-05-10,2024-07-16,Fruiting,Use of organic pesticides,635
Corn,2024-11-17,2025-02-08,Fruiting,Crop rotation,2263
Rice,2024-02-04,2024-04-28,Maturity,Biological pest control,1593
Sugarcane,2024-10-22,2025-01-31,Maturity,Biological pest control,890
Sugarcane,2023-04-27,2023-07-12,Fruiting,Chemical pesticides,4983
Potato,2023-05-06,2023-09-28,Flowering,Use of organic pesticides,4613
Rice,2023-05-31,2023-10-18,Fruiting,Crop rotation,4900
Rice,2023-11-26,2024-03-01,Maturity,Neem oil application,3857
Lettuce,2023-06-09,2023-10-30,Vegetative,Use of organic pesticides,2657
Tomato,2024-07-29,2024-10-15,Flowering,Use of organic pesticides,2858
Barley,2023-05-28,2023-10-17,Seedling,Regular field monitoring,658
Cotton,2023-11-22,2024-02-28,Fruiting,Regular field monitoring,3621
Soybean,2024-09-17,2025-01-27,Maturity,Biological pest control,1536
Potato,2023-11-01,2024-04-06,Fruiting,Chemical pesticides,3292
Wheat,2024-11-19,2025-04-27,Flowering,Biological pest control,1642
Lettuce,2025-01-20,2025-06-16,Fruiting,Neem oil application,810
Lettuce,2024-01-20,2024-06-03,Vegetative,Neem oil application,2123
Barley,2023-06-02,2023-09-24,Fruiting,Regular field monitoring,4700
Cotton,2024-04-24,2024-09-23,Maturity,Regular field monitoring,4464
Wheat,2025-01-07,2025-03-23,Fruiting,Crop rotation,508
Wheat,2024-01-28,2024-06-15,Seedling,Regular field monitoring,1703
Lettuce,2023-04-16,2023-09-14,Seedling,Biological pest control,3322
Potato,2024-05-10,2024-08-28,Flowering,Biological pest control,2808
Rice,2024-12-25,2025-02-28,Fruiting,Biological pest control,4942
Lettuce,2024-05-12,2024-11-07,Fruiting,Neem oil application,515
Tomato,2024-04-18,2024-10-08,Maturity,Crop rotation,4395
Wheat,2024-05-08,2024-10-02,Maturity,Regular field monitoring,4641
Barley,2025-01-23,2025-05-02,Seedling,Biological pest control,4556
Sugarcane,2025-01-10,2025-05-25,Seedling,Neem oil application,1087
Potato,2024-06-22,2024-09-19,Vegetative,Neem oil application,4256
Cotton,2024-04-02,2024-08-17,Flowering,Use of organic pesticides,1439
Corn,2023-11-28,2024-03-06,Fruiting,Neem oil application,1958
Potato,2024-06-20,2024-09-09,Fruiting,Use of organic pesticides,4576
Soybean,2023-09-16,2023-12-08,Maturity,Regular field monitoring,976
Wheat,2024-10-19,2024-12-21,Flowering,Biological pest control,4478
Soybean,2023-07-15,2023-09-16,Fruiting,Crop rotation,4730
Potato,2024-11-22,2025-01-27,Maturity,Regular field monitoring,3540
Sugarcane,2024-12-23,2025-04-19,Vegetative,Regular field monitoring,3695
Wheat,2023-12-25,2024-06-07,Maturity,Chemical pesticides,2518
Sugarcane,2024-02-21,2024-07-23,Vegetative,Neem oil application,912
Lettuce,2023-08-20,2023-11-27,Vegetative,Biological pest control,4289
